,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,110000000000
1,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,63506151945
2,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,70051853172
3,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY MANAGEMENT,16376055295
4,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,SENATE,33267001807
5,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,HOUSE OF REPRESENTATIVES,51994511954
6,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY SERVICE COMMISSION,5734166662
7,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,LEGISLATIVE AIDES,9602095928
8,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - SENATE,118970215
9,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - HOUSE OF REPRESENTATIVES,142764258
10,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NASS - GENERAL SERVICE,8607475470
11,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL INSTITUTE FOR LEGISLATIVE AND DEMOCRATIC STUDIES,7373813596
12,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NASS - SERVICE - WIDE VOTE,389354934
13,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,OFFICE OF THE RETIRED CLERKS AND PERMANENT SECRETARIES,393789881
14,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,8690000000
15,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),40000000000
16,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,3920000000
17,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NORTH EAST DEVELOPMENT COMMISSION,31334539570
18,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,BASIC HEALTH CARE FUND,35025926586
19,2021,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,2183490000000
20,2021,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,940890000000
21,2021,DEBT SERVICE,RECURRENT  EXPENDITURE,SINKING FUND: SINKING FUND TO RETIRE MATURING LOANS,200000000000
22,2021,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,49058552836
23,2021,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF DEFENCE,838559082105
24,2021,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,75598309138
