,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2013,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,67000000000
1,2013,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,57424000000
2,2013,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,72246000000
3,2013,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,150000000000
4,2013,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INEC,32000000000
5,2013,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,1350000000
6,2013,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,543376000000
7,2013,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,48388000000
8,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,23045673132
9,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,46624887343
10,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,YOUTH DEVELOPMENT,79480470319
11,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE AFFAIRS,4305647419
12,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE FORMATION AND COMMANDS,300898387312
13,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WOMEN AFFAIRS,1584697896
14,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,32953474280
15,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WATER RESOURCES,7933786559
16,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,2708223326
17,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,4309433225
18,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,297108982304
19,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,EDUCATION,367375116850
20,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FOREIGN AFFAIRS,46495121517
21,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FINANCE,11486336130
22,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,HEALTH,223780500580
23,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRADE AND INVESTMENT,12987724140
24,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFORMATION,21798435858
25,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,COMMUNICATION TECHNOLOGY,10437378241
26,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INTERIOR,146653093835
27,2013,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,7609563035
