,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2017,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,100000000000
1,2017,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,64023554666
2,2017,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,95189395583
3,2017,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,125000000000
4,2017,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,4000000000
5,2017,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INEC,45000000000
6,2017,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,1200000000
7,2017,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,1488002436547
8,2017,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,175882993952
9,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,2693253521
10,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF BUDGET AND NATIONAL PLANNING,8843198998
11,2016,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,31752144051
12,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF DEFENCE,330543309223
13,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,398686819418
14,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT,16108983841
15,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF FINANCE,9521555393
16,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,56424094037
17,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF HEALTH,252854396662
18,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",10797165779
19,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,40821093321
20,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INTERIOR,472597817561
21,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,21038344711
22,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,8626186611
23,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF MINES & STEEL DEVELOPMENT,10385055182
24,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF NIGER DELTA,1764382365
25,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF PETROLEUM RESOURCES,63222101051
26,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,27785074208
27,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF TRANSPORTATION,14810103581
28,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,7301176944
29,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL  MINISTRY OF WOMEN AFFAIRS,1466534201
30,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF POWER, WORKS & HOUSING",32821929055
31,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,89316015167
32,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,332848038
33,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,(ICPC),5159640131
34,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURE CONCESSIONARY AND REGULATORY COMMISSION  (ICRC),884624464
35,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF COMMUNICATIONS TECHNOLOGY,11192782734
36,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOME AND WAGES COMMISSION",631503868
37,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,76281025653
38,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,6652280969
39,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,STATE HOUSE,22947666215
40,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SECRETARY TO THE GOVERNMENT OF THE FEDERATION (SGF),51933366906
41,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL EXECUTIVE BODIES:CODE OF CONDUCT BUREAU,2337582923
42,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,573778581
43,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2158721471
44,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,943761945
45,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,5563110903
46,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,705772631
47,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"REVENUE MOBILIZATION, ALLOCATION AND FISCAL COMMISSION",2061930637
48,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),33290715716
49,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,28391013524
50,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2300000000
51,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,BENEFITS OF RETIRED HEADS OF THE CIVIL SERVICE OF THE FEDERATION ANDFEDERAL PERMANENT SECRETARIES,2599702192
52,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),71156115576
53,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,65619472577
54,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2017 EXPECTED RETIREES,3170929878
55,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEATH BENEFITS,2115713121
56,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COSTS,150000000
57,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2017 VERIFICATION COSTS,50000000
58,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ADMINISTRATIVE COSTS,50000000
59,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE PENSIONS AND GRATUITIES,7412463652
60,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,7412463652
61,2017,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",8420000000
