,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2012,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,75000000000
1,2012,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,1.5E+11
2,2012,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,48673424630
3,2012,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,63117316830
4,2012,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),35000000000
5,2012,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,802354141
6,2012,DEBT SERVICE,NON RECURRENT  EXPENDITURE,DOMESTIC DEBTS,5.1198E+11
7,2012,DEBT SERVICE,NON RECURRENT  EXPENDITURE,FOREIGN DEBTS,47600000000
8,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,PRESIDENCY,25397892030
9,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION (SGF),45855825934
10,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,YOUTH DEVELOPMENT,71030129077
11,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,POLICE AFFAIRS,3532163571
12,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,POLICE FORMATION AND COMMANDS,2.98818E+11
13,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,WOMEN AFFAIRS,1696913517
14,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,33464139190
15,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,WATER RESOURCES,8389407511
16,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,2526680601
17,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,3839900697
18,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,2.963E+11
19,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,EDUCATION,3.42728E+11
20,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,FOREIGN AFFAIRS,39374138203
21,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,FINANCE,9760789557
22,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,HEALTH,2.24512E+11
23,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,TRADE AND INVESTMENT,11516162435
24,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,INFORMATION,19739184847
25,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,COMMUNICATION TECHNOLOGY,10460474861
26,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,INTERIOR,1.51818E+11
27,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,7361576900
28,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,JUSTICE,21081036044
29,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,LABOUR AND PRODUCTIVITY,7965853219
30,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,POWER,2951452111
31,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,SCIENCE AND TECHNOLOGY,20465413443
32,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,TRANSPORT,7499428669
33,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,PETROLEUM RESOURCES,50965520589
34,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,WORKS,31588738036
35,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,LANDS & HOUSING,6182401835
36,2012,EXECUTIVE ARM,RECURRENT  EXPENDITURE,MINES & STEEL DEVELOPMENT,11942585877
37,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,AVIATION,6075447530
38,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",671382742
39,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,ENVIRONMENT,13400592253
40,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",17572852343
41,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,NATIONAL PLANNING COMMISSION,5853003229
42,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,NATIONAL SPORTS COMMISSION,7619651054
43,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,59637849877
44,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,NIGER-DELTA,2325267110
45,2012,LEGISLATIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,SPECIAL DUTIES,321735112
46,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,554868403
47,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,993908482
48,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,7388719372
49,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,1410357671
50,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,399770737
51,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,2513807706
52,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,1985209137
53,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1190272495
54,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,748055778
55,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2149465108
56,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),17000000000
57,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS,14249000000
58,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,GRATUITIES,2300000000
59,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSION RUNNING COST INCLUDING VERIFICATION EXERCISE IN 2022,201000000
60,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,REIMBURSEMENT TO STATES,250000000
61,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),60110491688
62,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,MILITARY PENSION,47739513564
63,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,RETURNEES FROM CONTRIBUTORY SCHEME,7419510617
64,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,DEATH BENEFITS,4001334098
65,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,ADMIN. CHARGES/YEARLY VERIFICATION EXERCISE,550133409
66,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSION RUNNING COST,400000000
67,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,POLICE PENSION OFFICE,6669820671
68,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS,6426444651
69,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSION RUNNING COST/BIOMETRIC CAPTURE,243376020
70,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",8640000000
71,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS,8600000000
72,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSION RUNNING COST,40000000
73,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS,13000000000
74,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS,13000000000
75,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS,29000000000
76,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS,29000000000
77,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,1707141550
78,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS,1667141550
79,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSION RUNNING COST,40000000
80,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,DEPARTMENT OF STATE SECURITY,7698013136
81,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS (INCLUDING ARREARS),7698013136
82,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,3540711704
83,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,3540711704
84,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,ARREARS OF PAYG PENSION,10798095146
85,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,INCREASES IN PENSION RATES,10000000000
86,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,IPPIS (OAGF),650000000
87,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFITS TO CIVIL SERVANTS,900000000
88,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PERSONNEL COST),66657938400
89,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,ARREARS OF POLICE DEATH BENEFITS (2004 - 2010),3750000000
90,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,ARREARS  OF ARMED FORCES DEATH BENEFITS (2004 - 2010),1350000000
91,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs,4012936122
92,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,GROUP LIFE INSURANCE FOR THE NIGERIA POLICE,2800363878
93,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,GROUP LIFE INSURANCE FOR ARMED FORCES,1897184735
94,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,ADMINISTRATION AND MONITORING OF (OHCSF) GROUP LIFE,36000000
95,2012,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAs (INCLUDING ARREARS OF PROMOTIONAND SALARY INCREASE),52284274712
96,2012,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OPERATIONS - INTERNAL FOR THE ARMED FORCES,17107616635
