,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,120000000000
1,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,102783203366
2,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,112287014270
3,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY OFFICE,19116017372
4,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,SENATE,33267001807
5,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,HOUSE OF REPRESENTATIVES,51994511954
6,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,LEGISLATIVES AIDES,9602095928
7,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - SENATE,118970215
8,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PAC - HOUSE OF REPRESENTATIVES,142764258
9,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,GENERAL SERVICES,8307475470
10,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL INSTITUTE FOR LEGISLATIVE AND DEMOCRATIC STUDIES (NILDS),7373813596
11,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,OFFICE OF RETIRED  CLERKS AND  PERM. SECRETARIES,581847737
12,2021,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,APPROPRIATION COMMITTEE DEPARTMENT  -  SENATE,125000000
13,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,APPROPRIATION COMMITTEE DEPARTMENT  -  HOUSE,165000000
14,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,11190000000
15,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),219543861619
16,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,4500000000
17,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NORTH EAST DEVELOPMENT COMMISSION,48076094017
18,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,BASIC HEALTH CARE FUND,56143507135
19,2022,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL AGENCY FOR SCIENCE AND ENGINEERING INFRASTRUCTURE (NASENI),56143507135
20,2022,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,2506075200107
21,2022,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,1103165988308
22,2022,DEBT SERVICE,RECURRENT  EXPENDITURE,SINKING FUND TO RETIRE MATURING LOANS,270711793135
23,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,61079757342
24,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEFENCE,996091292618
25,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF FOREIGN AFFAIRS,79243483198
26,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF INFORMATION & CULTURE,55796274038
27,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF INTERIOR,257626461524
28,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,7919353247
29,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR GENERAL FOR THE FEDERATION,4476854068
30,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF POLICE AFFAIRS,518532292470
31,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF COMMUNICATIONS AND DIGITAL ECONOMY,23387996618
32,2021,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL SECURITY ADVISER,155820214009
33,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION,1344674257
34,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,62575420244
35,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,4439614685
36,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AGRICULTURE AND RURAL DEVELOPMENT,75544228649
37,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF FINANCE, BUDGET AND NATIONAL PLANNING",28604104969
38,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",17966745438
39,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,14453726978
40,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"FEDERAL MINISTRY OF SCIENCE, TECHNOLOGY AND INNOVATION",49683523165
41,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF TRANSPORT,15892132819
42,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF AVIATION,7692548460
43,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF POWER,6262156943
44,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF PETROLEUM RESOURCES,30502257191
45,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINISTRY OF MINES AND STEEL DEVELOPMENT,12038392758
46,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WORKS AND HOUSING,31935604197
47,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",870534226
48,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSILIBITY COMMISSION,456245928
49,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WATER RESOURCES,10669058320
50,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF JUSTICE,26761780448
51,2021,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,11655253717
52,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF NIGER DELTA HQTRS,2569680304
53,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF YOUTH & SPORTS DEVELOPMENT,185489102966
54,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF WOMEN AFFAIRS,2103758084
55,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF EDUCATION,593473925256
56,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF HEALTH,462858698619
57,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL MINISTRY OF ENVIRONMENT HEADQUARTERS,22796647842
58,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,8880618082
59,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"MINISTRY OF HUMANITARIAN AFFAIRS, DISASTER MANAGEMENT AND SOCIAL",7669972542
60,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,2343845401
61,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,830910644
62,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,3272871999
63,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1217473478
64,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,926505919
65,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"REVENUE MOBILIZATION, ALLOCATION, AND FISCAL COMMISSION",2337230632
66,2021,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SUB-TOTAL: FEDERAL EXECUTIVE BODIES,10928838073
67,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GOVERNMENT OWNED ENTERPRISES,1084026783067
68,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"PENSION, GRATUITIES AND RETIREES BENEFITS TOTAL ALLOCATION:",577862188757
69,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF CIVIL SERVICE (CIVILIAN PENSION),46466585167
70,2022,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,841000000
71,2022,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,34872319858
