,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2011,STATUTORY,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,95000000000
1,2011,STATUTORY,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,46786520628
2,2011,STATUTORY,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,54328643090
3,2011,DEBT SERVICE,NON RECURRENT  EXPENDITURE,DOMESTIC DEBTS,5.03E+11
4,2011,DEBT SERVICE,NON RECURRENT  EXPENDITURE,FOREIGN DEBTS,38916496647
5,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PRESIDENCY,26583128891
6,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION (SGF),57604822199
7,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,YOUTH DEVELOPMENT,44208603401
8,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE AFFAIRS,3222404970
9,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE FORMATION AND COMMANDS,2.94E+11
10,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WOMEN AFFAIRS,2060641366
11,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,34063326510
12,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WATER RESOURCES,8745896464
13,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,2935161388
14,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMISSION,3338916953
15,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,2.89E+11
16,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,EDUCATION,3.04E+11
17,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FOREIGN AND INTERGOVERNMENTAL AFFAIRS,38992135003
18,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FINANCE,12081460230
19,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,HEALTH,2.02E+11
20,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMERCE AND INDUSTRY,10351160220
21,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INFORMATION AND COMMUNICATIONS,27021995211
22,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INTERIOR,1.52E+11
23,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,6731188057
24,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,JUSTICE,19414987811
25,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,LABOUR AND PRODUCTIVITY,8150616175
26,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POWER,3776270909
27,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,SCIENCE & TECHNOLOGY,22460277443
28,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,TRANSPORT,7050173566
29,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PETROLEUM RESOURCES,38489462056
30,2011,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WORKS,26684115362
