,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,73000000000
1,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,49030000000
2,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION  (ARREARS FOR Q4 2012),12910000000
3,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,70470000000
4,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,150000000000
5,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION ,6927801891
6,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,45000000000
7,2014,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NDDC ARREARS OF SHARE OF EXCESS CRUDE DISTRIBUTED IN 2009,1350000000
8,2014,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,663610000000
9,2014,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,48390000000
10,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,27016720760
11,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION,49200983088
12,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,YOUTH DEVELOPMENT,75957608331
13,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE AFFAIRS,4479751900
14,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE FORMATION AND COMMANDS,295561812085
15,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WOMEN AFFAIRS,1538263550
16,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,31493503356
17,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WATER RESOURCES,7707230646
18,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,3195286304
19,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFENCES COMMISSION,4542989874
20,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,314347339871
21,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,EDUCATION,373532095037
22,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRATION FOREINE AFFAIRS,46595745004
23,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FINANCE,13719299274
24,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,HEALTH,214946652273
25,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRADE AND INVESTMENT,12625993782
26,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFORMATION,22437143384
27,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,COMMUNICATION TECHNOLOGY,10626932493
28,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INTERIOR,145021228363
29,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,7426843501
30,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,JUSTICE,24494780899
31,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LABOUR AND PRODUCTIVITY,8569176624
32,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POWER,3397810244
33,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SCIENCE AND TECHNOLOGY,23921029868
34,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRANSPORT,8193406260
35,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PETROLEUM RESOURCES,55706174457
36,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WORKS,27405355931
37,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LANDS & HOUSING,5624655406
38,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINES & STEEL DEVELOPMENT,10579956791
39,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AVIATION,6150858752
40,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",716809025
41,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ENVIRONMENT,14138963475
42,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",17720095306
43,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL PLANNING COMMISSION,6169131820
44,2014,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL SPORTS COMMISSION,6076107773
45,2014,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,66625072907
46,2014,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NIGER-DELTA,2289614937
47,2014,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES,104591265
48,2014,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES AND INTERGOVERNMENTAL AFFAIRS,575656604
49,2014,LEGISLATIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,541226521
50,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,862270565
51,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,5291205798
52,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,1856158560
53,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,460229424
54,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,1959705303
55,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1239087404
56,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,782623151
57,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2173429715
58,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),21711170000
59,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,18951170000
60,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2300000000
61,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST INCLUDING VERIFICATION EXERCISE IN 2013,210000000
62,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,REINBURSEMENT TO STATES,250000000
63,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),77003461518
64,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,70673939944
65,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,2013 RETIREES,2656915035
66,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,DEATH BENEFITS,2656915035
67,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,ADMIN. CHARGES,265691504
68,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,600000000
69,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,YEARLY VERIFICATION EXERCISE,150000000
70,2014,OTHERS,RECURRENT (NON DEBT) EXPENDITURE,POLICE PENSIONS AND GRATUITIES,9469269077
71,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9225893057
72,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST/BIOMETRIC DATA CAPTURE AND VERIFICATION EXERCISES FOR THE YEAR,243376020
73,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",9296800000
74,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9256800000
75,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,40000000
76,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS,17290000000
77,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,17290000000
78,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS,35434750307
79,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,35434750307
80,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,2297298262
81,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,2257298262
82,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,40000000
83,2014,OTHERS,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,10238357471
84,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),10238357471
85,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,4709146566
86,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,4709146566
87,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PAYG PENSION,3000000000
88,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INCREASES IN PENSION RATES (PARASTATALS),2500000000
89,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,IPPIS,500000000
90,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS,500000000
91,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO THE REDEMPTION FUND (5% OF TOTAL PERSONNEL COST),30582553824
92,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF POLICE DEATH BENEFITS (2004 - 2010),3750000000
93,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs,11000000000
94,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS (MILITARY RETIREES),3544110811
95,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATION AND MONITORING OF (OHCSF) GROUP LIFE,36000000
96,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAs ARREARS OF PROMOTION AND SALARY INCREASE)s,33638028591
97,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OPERATIONS - INTERNAL FOR THE ARMED FORCES,24107616635
98,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS INCLUDING WAEC INTERNATIONAL,6000000000
99,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ASSESSED CONTRIBUTION TO AFRICAN UNION AND OTHERS,5650000000
100,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS,13000000000
101,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MARGIN FOR INCREASES IN COSTS,5000000000
102,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTINGENCY,24000000000
103,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,MUSLIM/CHRISTIAN PILGRIMAGES,1800000000
104,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GENERAL ELECTION LOGISTICS SUPPORT,30000000000
105,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,RECURRENT ADJUSTMENT,3049600000
106,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,EMPLOYEES COMPENSATION ACT - EMPLOYEES' COMPENSATION FUND,5500000000
107,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ENTITLEMENTS OF FORMER PRESIDENTS/HEADS OF STATE AND VICE-PRESIDENTS/CHIEFS OF GENERAL STAFF,2300000000
108,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INSURANCE OF SENSITIVE ASSETS/CORPERS,2500000000
109,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,BENEFITS OF RETIRED HEADS OF THE CIVIL SERVICE OF THE FEDRATION AND FEDERAL PERMANENT SECRETARIES,2599702192
110,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT TO NIGERIAN ARMY QUICK RESPONSE GROUP INCLUDING ARREARS,12000000000
111,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,INCLUDING ARREARS PAYMENT FOR OUTSOURCES SEREVICES,5000000000
112,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NATIONAL DIALOGUE,7000000000
113,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME:,63281093786
114,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"PRESIDENTIAL AMNESTY PROGRAMME: STIPENDS AND ALLOWANCES OF N30,000 NIGER DELTA EXS-MULITANTS",23625000000
115,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: OPERATIONAL COST,3699933814
116,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME: REINTEGRATION OF TRANSFORED EX-MILITANTS,35409859972
117,2014,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"PRESIDENTIAL AMNESTY PROGRAMME: REINSERTION/TRANSITION SAFTY ALLOWANCEFOR 3,642 EX- MILITANTS ( 3RD PHASE)",546300000
118,2014,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,9099001806
119,2014,OTHERS,CAPITAL EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION (SGF),19795206242
