,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,91000000000
1,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,35624771198
2,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,NDDC ARREARS OF SHARE OF EXCESS CRUDE DISTRIBUTED IN 2009,9312986292
3,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,44341401504
4,2010.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,DOMESTIC DEBTS,478155330805
5,2010.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,FOREIGN DEBTS,38916496647
6,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PRESIDENCY(SGF),21263883863
7,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERATION SGF  ,41629016547
8,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,YOUTH DEVELOPMENT,43257496307
9,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE AFFAIRS,2124217101
10,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE FORMATION AND COMMANDS,186478587276
11,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WOMEN AFFAIRS,2268469707
12,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AGRICULTURE AND WATER RESOURCES,31583959848
13,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES,2367293277
14,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMISSION,1924193886
15,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,192594871801
16,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,EDUCATION,195418320506
17,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRARTION,0
18,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FOREIGN AND INTERGOVERNMENTAL AFFAIRS,34893151006
19,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FINANCE,9594336506
20,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,HEALTH ,111855511090
21,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMERCE AND INDUSTRY,8844824739
22,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INFORMATION AND COMMUNICATIONS ,18933740953
23,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INTERIOR ,81582227580
24,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION ,5851360586
25,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,JUSTICE ,15070742417
26,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,LABOUR AND PRODUCTIVITY ,6340004280
27,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POWER ,3580819527
28,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,SCIENCE AND TECHNOLOGY ,16086587085
29,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,TRANSPORT ,5459041820
30,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PETROLEUM RESOURCES ,34077998251
31,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,"WORKS, HOUSING AND URBAN DEVELOPMENT ",28119267120
32,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,MINES AND STEEL DEVELOPMENT ,7364872700
33,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AVIATION ,6282544568
34,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION ",590637276
35,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,ENVIRONMENT ,8579598029
36,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,CULTURE AND NOA ,12326968443
37,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL PLANNING COMMISSION ,4901887458
38,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL SPORTS COMMISSION ,5477933044
39,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER ,39958468267
40,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NIGER-DELTA ,3130546501
41,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,SPECIAL DUTIES ,203976119
42,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FISCAL RESPONSIBILTY COMMISSION ,697740873
43,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION ,1580711774
44,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL POPULATION COMMISSION ,3897923307
45,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,CODE OF CONDUCT BUREAU ,954673475
46,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,CODE OF CONDUCT TRIBUNAL ,277530884
47,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION ,1730437778
48,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION ,1519188809
49,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION ,1016261074
50,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE SERVICE COMMISSSION ,604104757
51,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC) ,39302309195
52,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERAL CHARACTER COMMISSION ,1292893892
53,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY OFFICE ,8642392758
54,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,SENATE ,33648644134
55,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,HOUSE OF REPRESENTATIVES ,53148215972
56,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY SERVICE COMMISSION ,1244212781
57,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,LEGISLATIVE AIDES ,5741061623
58,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,SENATE COMMITTEE ON PUBLIC ACCOUNTS ,150000000
59,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,HOUSE COMMITTEE ON PUBLIC ACCOUNTS ,162500000
60,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,GENERAL SERVICE OFFICE ,16045000000
61,2010.0,OTHERS,RECURRENT  EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION) ,42060000000
62,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS ,28650000000
63,2010.0,OTHERS,RECURRENT  EXPENDITURE,GRATUITIES ,6660000000
